가게 이름,업종구분,주소,URL
역전포장마차 신촌점,술집,서울 서대문구 연세로7길 26 2층,https://pcmap.place.naver.com/restaurant/1984155649/review/visitor#
헤일우드,"카페,디저트",서울 서대문구 통일로34길 7 1층,https://pcmap.place.naver.com/restaurant/1095540561/review/visitor#
정육면체 신촌점,아시아음식,서울 서대문구 연세로5다길 22-8 1층 정육면체,https://pcmap.place.naver.com/restaurant/1229208931/review/visitor#
봉일천 장군집,돼지고기구이,서울 서대문구 응암로 141,https://pcmap.place.naver.com/restaurant/13435774/review/visitor#
머노까머나 신촌점,인도음식,서울 서대문구 연세로11길 13 2층,https://pcmap.place.naver.com/restaurant/12791076/review/visitor#
스웨이커피스테이션,"카페,디저트",서울 서대문구 연희로11길 61,https://pcmap.place.naver.com/restaurant/1826959498/review/visitor#
작은스페인,스페인음식,서울 서대문구 연희로25길 37,https://pcmap.place.naver.com/restaurant/38738511/review/visitor#
이석덕생면파스타 신촌점,이탈리아음식,서울 서대문구 명물길 16 2층 이석덕생면파스타,https://pcmap.place.naver.com/restaurant/1363106336/review/visitor#
한사발포차 신촌점,요리주점,서울 서대문구 연세로7안길 10-7 1층,https://pcmap.place.naver.com/restaurant/1337888553/review/visitor#
목란,중식당,서울 서대문구 연희로15길 21,https://pcmap.place.naver.com/restaurant/11880458/review/visitor#
설레임삼겹살 신촌점,돼지고기구이,서울 서대문구 연세로5가길 31 낙원빌딩,https://pcmap.place.naver.com/restaurant/31737840/review/visitor#
오리지날 이대본점,종합분식,서울 서대문구 이화여대길 88-9,https://pcmap.place.naver.com/restaurant/1883253739/review/visitor#
연경 연희점,중식당,서울 서대문구 연희로 145,https://pcmap.place.naver.com/restaurant/1721729164/review/visitor#
백순대본가새맛 신촌연대점,한식,서울 서대문구 연세로11길 12 1층,https://pcmap.place.naver.com/restaurant/1544979315/review/visitor#
아민 이화,양식,서울 서대문구 이화여대길 52-31,https://pcmap.place.naver.com/restaurant/37792625/review/visitor#
시오 연희동본점,일식당,서울 서대문구 연희로11가길 23 1층,https://pcmap.place.naver.com/restaurant/37687821/review/visitor#
만동제과 연남점,베이커리,서울 서대문구 연희로 32,https://pcmap.place.naver.com/restaurant/1038526987/review/visitor#
이빠네마 그릴,"스테이크,립",서울 서대문구 연세로4길 6 2층,https://pcmap.place.naver.com/restaurant/37676600/review/visitor#
청년밥상문간 이화여자대학교점,한식,서울 서대문구 이화여대길 52-39 지하 1층,https://pcmap.place.naver.com/restaurant/1288609263/review/visitor#
